Code,Municipio,Depto,Censo electoral,Participación/Total votos,Abstención,Ganador circunscripción nacional,Votos válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,MIRA,Partido Conservador,Partido de la U,Partido Liberal,Polo Democrático Alternativo,Opción Ciudadana,Voto en blanco (Nacional),Ganador circunscripción indígena,Votos válidos (Indígenas),AICO,ANIC,ASI,Asoc. Autoridades trad. y cabildos indígenas de Colombia,Cabildo Resg. de Calderas,Cabildo San Sebastián de los Lagos,Comunidad de Barrancon,Corp. Indígena Yanacona,Dignidades agropecuarias indígenas,MAIS,Multietnia Colombia,OPIAC,OPIC,Renovación étnica de Colombia,Voto en blanco (Indígenas),Votos válidos (todas las circunscripciones),Votos inválidos,Votos Nulos,Tarjetones No Marcados,%Participación,%Abstención,%Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%MIRA,%Partido Conservador,%Partido de la U,%Partido Liberal,%Polo Democrático Alternativo,%Opción Ciudadana,%Blancos (Nacional),%Válidos (Indígenas),%AICO,%ANIC,%ASI,%Asoc. Autoridades trad. y cabildos indígenas de Colombia,%Cabildo Resg. de Calderas,%Cabildo San Sebastián de los Lagos,%Comunidad de Barrancon,%Corp. Indígena Yanacona,%Dignidades agropecuarias indígenas,%MAIS,%Multietnia Colombia,%OPIAC,%OPIC,%Renovación étnica de Colombia,%Blancos (Indígenas),%Válidos (Todas las circunscripciones),%Votos inválidos,%Votos Nulos,%Tarjetones No Marcados
5001,Medellín,Antioquia,1407617,586102,821515,Centro Democrático,476540,18584,17462,208064,9995,55745,33820,53395,32938,3559,42978,Voto en Blanco,12669,187,204,1181,63,214,34,128,61,52,359,121,635,95,210,9125,489209,96893,74200,22693,41.64,58.36,81.31,3.9,3.66,43.66,2.1,11.7,7.1,11.2,6.91,0.75,9.02,2.16,1.48,1.61,9.32,0.5,1.69,0.27,1.01,0.48,0.41,2.83,0.96,5.01,0.75,1.66,72.03,83.47,16.53,12.66,3.87
5002,Abejorral,Antioquia,14933,5476,9457,Centro Democrático,4214,26,51,1768,49,1028,272,811,93,14,102,Voto en Blanco,82,1,3,6,,3,2,,,,,2,2,2,2,59,4296,1180,482,698,36.67,63.33,76.95,0.62,1.21,41.96,1.16,24.39,6.45,19.25,2.21,0.33,2.42,1.5,1.22,3.66,7.32,0,3.66,2.44,0,0,0,0,2.44,2.44,2.44,2.44,71.95,78.45,21.55,8.8,12.75
5004,Abriaquí,Antioquia,1909,808,1101,Partido Conservador,697,6,26,106,1,457,38,47,5,3,8,Voto en Blanco,2,,,,,,,,,,,,,,,2,699,109,30,79,42.33,57.67,86.26,0.86,3.73,15.21,0.14,65.57,5.45,6.74,0.72,0.43,1.15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,86.51,13.49,3.71,9.78
5021,Alejandría,Antioquia,4350,2068,2282,Partido Conservador,1753,18,13,131,,1004,95,408,14,11,59,Voto en Blanco,12,,,,,,,,,,,1,,,,11,1765,303,101,202,47.54,52.46,84.77,1.03,0.74,7.47,0,57.27,5.42,23.27,0.8,0.63,3.37,0.58,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,91.67,85.35,14.65,4.88,9.77
5030,Amagá,Antioquia,20732,7481,13251,Partido de la U,5922,131,207,1438,63,667,2199,527,250,59,381,Voto en Blanco,157,7,5,18,,5,,3,2,,7,3,1,1,3,102,6079,1402,772,630,36.08,63.92,79.16,2.21,3.5,24.28,1.06,11.26,37.13,8.9,4.22,1,6.43,2.1,4.46,3.18,11.46,0,3.18,0,1.91,1.27,0,4.46,1.91,0.64,0.64,1.91,64.97,81.26,18.74,10.32,8.42
5031,Amalfi,Antioquia,15434,3435,11999,Centro Democrático,2626,37,79,867,115,354,316,493,134,45,186,Voto en Blanco,91,1,2,29,1,1,2,,,1,5,3,2,,4,40,2717,718,282,436,22.26,77.74,76.45,1.41,3.01,33.02,4.38,13.48,12.03,18.77,5.1,1.71,7.08,2.65,1.1,2.2,31.87,1.1,1.1,2.2,0,0,1.1,5.49,3.3,2.2,0,4.4,43.96,79.1,20.9,8.21,12.69
5034,Andes,Antioquia,32870,14796,18074,Centro Democrático,12133,79,127,3790,47,3158,3523,433,482,86,408,Voto en Blanco,179,3,3,65,1,3,,11,,1,13,4,2,1,1,71,12312,2484,940,1544,45.01,54.99,82,0.65,1.05,31.24,0.39,26.03,29.04,3.57,3.97,0.71,3.36,1.21,1.68,1.68,36.31,0.56,1.68,0,6.15,0,0.56,7.26,2.23,1.12,0.56,0.56,39.66,83.21,16.79,6.35,10.44
5036,Angelópolis,Antioquia,5461,2300,3161,Partido Conservador,1870,13,90,354,8,608,354,325,40,4,74,Voto en Blanco,33,1,1,7,1,2,1,1,,,,,1,1,1,16,1903,397,200,197,42.12,57.88,81.3,0.7,4.81,18.93,0.43,32.51,18.93,17.38,2.14,0.21,3.96,1.43,3.03,3.03,21.21,3.03,6.06,3.03,3.03,0,0,0,0,3.03,3.03,3.03,48.48,82.74,17.26,8.7,8.57
5038,Angostura,Antioquia,8565,3287,5278,Partido Conservador,2189,41,30,199,7,1493,216,47,49,8,99,Voto en Blanco,52,,,9,,1,,1,,1,1,5,2,1,2,29,2241,1046,379,667,38.38,61.62,66.6,1.87,1.37,9.09,0.32,68.2,9.87,2.15,2.24,0.37,4.52,1.58,0,0,17.31,0,1.92,0,1.92,0,1.92,1.92,9.62,3.85,1.92,3.85,55.77,68.18,31.82,11.53,20.29
5040,Anorí,Antioquia,10171,1890,8281,Partido Liberal,1427,55,23,293,13,183,78,650,34,7,91,Voto en Blanco,30,,1,1,,,,2,,2,2,,,,,22,1457,433,127,306,18.58,81.42,75.5,3.85,1.61,20.53,0.91,12.82,5.47,45.55,2.38,0.49,6.38,1.59,0,3.33,3.33,0,0,0,6.67,0,6.67,6.67,0,0,0,0,73.33,77.09,22.91,6.72,16.19
5042,Santafé de Antioquia,Antioquia,18231,6480,11751,Partido de la U,5041,82,112,1246,25,610,1693,584,284,48,357,Voto en Blanco,91,,1,6,1,3,1,1,,1,4,3,2,1,2,65,5132,1348,595,753,35.54,64.46,77.79,1.63,2.22,24.72,0.5,12.1,33.58,11.59,5.63,0.95,7.08,1.4,0,1.1,6.59,1.1,3.3,1.1,1.1,0,1.1,4.4,3.3,2.2,1.1,2.2,71.43,79.2,20.8,9.18,11.62
5044,Anza,Antioquia,5265,2035,3230,Partido de la U,1543,8,17,379,36,285,416,335,19,10,38,Voto en Blanco,20,,,2,1,3,,,,,1,,1,,,12,1563,472,151,321,38.65,61.35,75.82,0.52,1.1,24.56,2.33,18.47,26.96,21.71,1.23,0.65,2.46,0.98,0,0,10,5,15,0,0,0,0,5,0,5,0,0,60,76.81,23.19,7.42,15.77
5045,Apartadó,Antioquia,80991,28699,52292,Centro Democrático,22162,558,1473,5426,1111,2093,5291,3359,863,336,1652,Voto en Blanco,1064,226,24,276,4,13,1,5,7,4,71,10,11,10,11,391,23226,5473,3392,2081,35.43,64.57,77.22,2.52,6.65,24.48,5.01,9.44,23.87,15.16,3.89,1.52,7.45,3.71,21.24,2.26,25.94,0.38,1.22,0.09,0.47,0.66,0.38,6.67,0.94,1.03,0.94,1.03,36.75,80.93,19.07,11.82,7.25
5051,Arboletes,Antioquia,21333,10126,11207,Partido de la U,7990,71,252,462,20,2033,3652,633,105,661,101,MAIS,114,3,5,25,,4,,1,,2,43,4,2,1,,24,8104,2022,1030,992,47.47,52.53,78.91,0.89,3.15,5.78,0.25,25.44,45.71,7.92,1.31,8.27,1.26,1.13,2.63,4.39,21.93,0,3.51,0,0.88,0,1.75,37.72,3.51,1.75,0.88,0,21.05,80.03,19.97,10.17,9.8
5055,Argelia,Antioquia,6481,2473,4008,Centro Democrático,1968,10,8,1151,5,335,286,67,19,46,41,Voto en Blanco,25,,2,2,,2,,,,,,2,,,2,15,1993,480,167,313,38.16,61.84,79.58,0.51,0.41,58.49,0.25,17.02,14.53,3.4,0.97,2.34,2.08,1.01,0,8,8,0,8,0,0,0,0,0,8,0,0,8,60,80.59,19.41,6.75,12.66
5059,Armenia,Antioquia,4835,1842,2993,Partido Liberal,1379,3,18,262,3,337,23,648,29,7,49,Voto en Blanco,10,1,,,,1,,,,,,,,,1,7,1389,453,214,239,38.1,61.9,74.86,0.22,1.31,19,0.22,24.44,1.67,46.99,2.1,0.51,3.55,0.54,10,0,0,0,10,0,0,0,0,0,0,0,0,10,70,75.41,24.59,11.62,12.98
5079,Barbosa,Antioquia,35281,14618,20663,Partido Liberal,11945,241,470,2809,83,2386,1533,3264,411,63,685,Voto en Blanco,231,2,4,32,1,5,,3,1,1,7,5,7,3,1,159,12176,2442,1409,1033,41.43,58.57,81.71,2.02,3.93,23.52,0.69,19.97,12.83,27.33,3.44,0.53,5.73,1.58,0.87,1.73,13.85,0.43,2.16,0,1.3,0.43,0.43,3.03,2.16,3.03,1.3,0.43,68.83,83.29,16.71,9.64,7.07
5086,Belmira,Antioquia,4453,2108,2345,Partido Liberal,1856,8,36,168,5,675,15,869,16,4,60,Voto en Blanco,17,1,,1,,1,,,,1,,,,,,13,1873,235,124,111,47.34,52.66,88.05,0.43,1.94,9.05,0.27,36.37,0.81,46.82,0.86,0.22,3.23,0.81,5.88,0,5.88,0,5.88,0,0,0,5.88,0,0,0,0,0,76.47,88.85,11.15,5.88,5.27
5088,Bello,Antioquia,294886,106358,188528,Partido Conservador,84505,3275,3286,22687,1923,23252,5439,10656,5109,677,8201,Voto en Blanco,2264,32,55,122,9,30,6,37,12,6,43,28,115,17,45,1707,86769,19589,14668,4921,36.07,63.93,79.45,3.88,3.89,26.85,2.28,27.52,6.44,12.61,6.05,0.8,9.7,2.13,1.41,2.43,5.39,0.4,1.33,0.27,1.63,0.53,0.27,1.9,1.24,5.08,0.75,1.99,75.4,81.58,18.42,13.79,4.63
5091,Betania,Antioquia,8224,3623,4601,Partido Liberal,2741,12,43,772,13,598,91,1097,35,15,65,Voto en Blanco,24,4,,1,,,1,,,1,,,,,,17,2765,858,414,444,44.05,55.95,75.66,0.44,1.57,28.16,0.47,21.82,3.32,40.02,1.28,0.55,2.37,0.66,16.67,0,4.17,0,0,4.17,0,0,4.17,0,0,0,0,0,70.83,76.32,23.68,11.43,12.26
