Code,Depto,Municipio,Censo Electoral,Participación/Total votación,Abstención,Ganador Circunscripción Nacional,Votos Válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,Partido Conservador,FARC,Partido Liberal,Opción Ciudadana,MIRA,Polo Democrático Alternativo,Partido de la U,Somos,Todos Somos Colombia,Coalición Lista de la Decencia (ASI-UP-MAIS),GSC Colombia Justa Libres,GSC Si se puede,GSC Unión con Fortaleza,Voto en Blanco (Nacional),Ganador Circunscripción Indígena,Votos Válidos Indígenas,Autoridad Tradicional Casiyouren,MAIS,AICO,Movimiento Indígena Ambiental - MIA,Movimiento Político Soberanía,ASI,Renovación Étnica de Colombia,Voto en Blanco (Indígena),Vótos Válidos (todas las circunscripciones),Votos Inválidos,Votos Nulos,Tarjetones no Marcados,%Participación,%Abstención,%Votos Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%Partido Conservador,%FARC,%Partido Liberal,%Opción Ciudadana,%MIRA,%Polo Democrático Alternativo,%Partido de la U,%Somos,%Todos Somos Colombia,%Coalición Lista de la Decencia (ASI-UP-MAIS),%GSC Colombia Justa Libres,%GSC Si se puede,%GSC Unión con Fortaleza,%Voto en Blanco (Nacional),%Válidos Indígenas,%Autoridad Tradicional Casiyouren,%MAIS,%AICO,%Movimiento Indígena Ambiental - MIA,%Movimiento Político Soberanía,%ASI,%Renovación Étnica de Colombia,%Voto en Blanco (Indígena),%Vótos Válidos (todas las circunscripciones),%Votos Inválidos,%Votos Nulos,%Tarjetones no Marcados
5001,Antioquia,Medellín,1558619,766128,792491,Centro Democrático,663647,61158,31411,283483,57989,1881,53059,4747,15982,45947,29711,6970,3417,11947,10977,1216,670,43082,Voto en Blanco ,20646,46,866,501,193,78,1371,291,17300,684293,81835,53284,28551,49.2%,50.8%,86.6%,9.2%,4.7%,42.7%,8.7%,0.3%,8.0%,0.7%,2.4%,6.9%,4.5%,1.1%,0.5%,1.8%,1.7%,0.2%,0.1%,6.5%,2.7%,0.2%,4.2%,2.4%,0.9%,0.4%,6.6%,1.4%,83.8%,89.3%,10.7%,7.0%,3.7%
5002,Antioquia,Abejorral,15345,4348,10997,Centro Democrático,3624,174,105,1035,948,3,803,68,43,103,172,13,31,15,21,1,2,87,Voto en Blanco ,53,0,0,1,0,0,2,0,50,3677,671,246,425,28.3%,71.7%,83.3%,4.8%,2.9%,28.6%,26.2%,0.1%,22.2%,1.9%,1.2%,2.8%,4.7%,0.4%,0.9%,0.4%,0.6%,0.0%,0.1%,2.4%,1.2%,0.0%,0.0%,1.9%,0.0%,0.0%,3.8%,0.0%,94.3%,84.6%,15.4%,5.7%,9.8%
5004,Antioquia,Abriaquí,1994,1036,958,Partido Conservador,906,5,18,175,534,0,19,1,1,5,133,2,1,0,3,1,2,6,Voto en Blanco ,1,0,0,0,0,0,0,0,1,907,129,104,25,52.0%,48.0%,87.5%,0.6%,2.0%,19.3%,58.9%,0.0%,2.1%,0.1%,0.1%,0.6%,14.7%,0.2%,0.1%,0.0%,0.3%,0.1%,0.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,87.5%,12.5%,10.0%,2.4%
5021,Antioquia,Alejandría,4669,2156,2513,Partido Conservador,1841,38,99,237,1262,1,73,7,2,19,26,12,3,6,0,3,0,53,Voto en Blanco ,7,0,0,0,0,0,0,0,7,1848,308,97,211,46.2%,53.8%,85.4%,2.1%,5.4%,12.9%,68.5%,0.1%,4.0%,0.4%,0.1%,1.0%,1.4%,0.7%,0.2%,0.3%,0.0%,0.2%,0.0%,2.9%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,85.7%,14.3%,4.5%,9.8%
5030,Antioquia,Amagá,22270,7964,14306,Centro Democrático,6542,245,425,2481,952,8,936,36,100,324,571,7,13,54,29,3,9,349,Voto en Blanco ,225,0,6,2,0,0,9,2,206,6767,1197,615,582,35.8%,64.2%,82.1%,3.7%,6.5%,37.9%,14.6%,0.1%,14.3%,0.6%,1.5%,5.0%,8.7%,0.1%,0.2%,0.8%,0.4%,0.0%,0.1%,5.3%,2.8%,0.0%,2.7%,0.9%,0.0%,0.0%,4.0%,0.9%,91.6%,85.0%,15.0%,7.7%,7.3%
5031,Antioquia,Amalfi,17296,4934,12362,Cambio Radical,3917,132,1272,610,252,5,527,20,173,168,459,44,18,17,38,1,3,178,Voto en Blanco ,106,0,4,1,2,0,3,0,96,4023,911,342,569,28.5%,71.5%,79.4%,3.4%,32.5%,15.6%,6.4%,0.1%,13.5%,0.5%,4.4%,4.3%,11.7%,1.1%,0.5%,0.4%,1.0%,0.0%,0.1%,4.5%,2.1%,0.0%,3.8%,0.9%,1.9%,0.0%,2.8%,0.0%,90.6%,81.5%,18.5%,6.9%,11.5%
5034,Antioquia,Andes,35381,15110,20271,Partido de la U,13094,312,175,1432,2762,18,328,80,49,306,7145,22,16,57,39,7,6,340,Voto en Blanco ,123,0,14,0,0,0,10,2,97,13217,1893,829,1064,42.7%,57.3%,86.7%,2.4%,1.3%,10.9%,21.1%,0.1%,2.5%,0.6%,0.4%,2.3%,54.6%,0.2%,0.1%,0.4%,0.3%,0.1%,0.0%,2.6%,0.8%,0.0%,11.4%,0.0%,0.0%,0.0%,8.1%,1.6%,78.9%,87.5%,12.5%,5.5%,7.0%
5036,Antioquia,Angelópolis,5865,2723,3142,Partido Conservador,2346,47,237,307,892,2,683,20,18,34,31,0,2,7,6,0,4,56,Voto en Blanco ,30,0,0,0,0,0,2,0,28,2376,347,132,215,46.4%,53.6%,86.2%,2.0%,10.1%,13.1%,38.0%,0.1%,29.1%,0.9%,0.8%,1.4%,1.3%,0.0%,0.1%,0.3%,0.3%,0.0%,0.2%,2.4%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,0.0%,93.3%,87.3%,12.7%,4.8%,7.9%
5038,Antioquia,Angostura,9299,2672,6627,Partido Conservador,2009,65,68,431,938,18,265,14,8,36,71,3,10,5,7,0,0,70,Voto en Blanco ,40,0,0,0,0,0,8,0,32,2049,623,224,399,28.7%,71.3%,75.2%,3.2%,3.4%,21.5%,46.7%,0.9%,13.2%,0.7%,0.4%,1.8%,3.5%,0.1%,0.5%,0.2%,0.3%,0.0%,0.0%,3.5%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,80.0%,76.7%,23.3%,8.4%,14.9%
5040,Antioquia,Anorí,11599,2950,8649,Partido Liberal,2435,85,184,198,132,108,1527,6,13,47,20,8,3,5,20,2,1,76,Voto en Blanco ,36,0,2,0,0,0,3,0,31,2471,479,141,338,25.4%,74.6%,82.5%,3.5%,7.6%,8.1%,5.4%,4.4%,62.7%,0.2%,0.5%,1.9%,0.8%,0.3%,0.1%,0.2%,0.8%,0.1%,0.0%,3.1%,1.2%,0.0%,5.6%,0.0%,0.0%,0.0%,8.3%,0.0%,86.1%,83.8%,16.2%,4.8%,11.5%
